,id,shortDescription,merchantId,gender,merchandiseLabel,merchandiseLabelField,isCustomizable,availableSizes,stockTotal,url,promotionLabel,type,brand.id,brand.name,images.cutOut,images.model,images.all,priceInfo.formattedFinalPrice,priceInfo.formattedInitialPrice,priceInfo.finalPrice,priceInfo.initialPrice,priceInfo.currencyCode,priceInfo.isOnSale,priceInfo.discountLabel,priceInfo.installmentsLabel,properties.rankingTrackingId,properties.isLimoncello
142,18844969,diamond-print long-sleeve top,9352,women,New Season,NewSeason,False,"[{'scaleId': 115, 'size': 'XS'}, {'scaleId': 115, 'size': 'S'}, {'scaleId': 115, 'size': 'M'}, {'scaleId': 115, 'size': 'L'}, {'scaleId': 115, 'size': 'XL'}, {'scaleId': 115, 'size': 'XXL'}]",348,/ge/shopping/women/marine-serre-diamond-print-long-sleeve-top-item-18844969.aspx?storeid=9352,,Product,6965366,Marine Serre,https://cdn-images.farfetch-contents.com/18/84/49/69/18844969_41342868_480.jpg,https://cdn-images.farfetch-contents.com/18/84/49/69/18844969_41344482_480.jpg,,$268,$268,268.0,268.0,USD,False,,,FiPGpJA9XW+0nL,
143,14502833,Greca-print swim shorts,9774,men,Conscious,NoTag,False,"[{'scaleId': 114, 'size': 'S'}, {'scaleId': 114, 'size': 'M'}, {'scaleId': 114, 'size': 'L'}, {'scaleId': 114, 'size': 'XL'}, {'scaleId': 114, 'size': 'XXL'}, {'scaleId': 114, 'size': 'XXXL'}]",537,/ge/shopping/men/versace-greca-print-swim-shorts-item-14502833.aspx?storeid=9774,,Product,6803,Versace,https://cdn-images.farfetch-contents.com/14/50/28/33/14502833_26015263_480.jpg,https://cdn-images.farfetch-contents.com/14/50/28/33/14502833_26015264_480.jpg,,$256,$256,256.0,256.0,USD,False,,,FiPGpJA9XW+0nL,
144,17916583,sheer panel stirrup leggings,13537,women,,NoTag,False,"[{'scaleId': 115, 'size': 'XXS'}, {'scaleId': 115, 'size': 'XS'}, {'scaleId': 115, 'size': 'S'}, {'scaleId': 115, 'size': 'M'}, {'scaleId': 115, 'size': 'L'}, {'scaleId': 115, 'size': 'XL'}, {'scaleId': 115, 'size': 'XXL'}]",115,/ge/shopping/women/mugler-sheer-panel-stirrup-leggings-item-17916583.aspx?storeid=13537,,Product,696377,Mugler,https://cdn-images.farfetch-contents.com/17/91/65/83/17916583_40495292_480.jpg,https://cdn-images.farfetch-contents.com/17/91/65/83/17916583_40494233_480.jpg,,$652,$652,652.0,652.0,USD,False,,,FiPGpJA9XW+0nL,
145,19571093,pre-owned GMT-Master II 40mm,12688,unisex,,NoTag,False,"[{'scaleId': 14, 'size': 'One Size'}]",1,/ge/shopping/women/rolex-pre-owned-gmt-master-ii-40mm-item-19571093.aspx?storeid=12688,,Product,3539544,Rolex,https://cdn-images.farfetch-contents.com/19/57/10/93/19571093_43614825_480.jpg,https://cdn-images.farfetch-contents.com/19/57/10/93/19571093_43614809_480.jpg,,"$26,754","$26,754",26754.0,26754.0,USD,False,,,FiPGpJA9XW+0nL,
146,16964457,Medalist low-top sneakers ,9006,men,,NoTag,False,,365,/ge/shopping/men/autry-medalist-low-top-sneakers-item-16964457.aspx?storeid=9006,,Product,15615986,Autry,https://cdn-images.farfetch-contents.com/16/96/44/57/16964457_33916364_480.jpg,https://cdn-images.farfetch-contents.com/16/96/44/57/16964457_33915810_480.jpg,,$171,$171,171.0,171.0,USD,False,,,FiPGpJA9XW+0nL,
147,18943140,chunky lace up sneakers,13537,women,New Season,NewSeason,False,,105,/ge/shopping/women/lanvin-chunky-lace-up-sneakers-item-18943140.aspx?storeid=13537,,Product,5757,Lanvin,https://cdn-images.farfetch-contents.com/18/94/31/40/18943140_41322508_480.jpg,https://cdn-images.farfetch-contents.com/18/94/31/40/18943140_41314491_480.jpg,,$968,$968,968.0,968.0,USD,False,,,FiPGpJA9XW+0nL,
148,18296721,Cloud 5 low-top sneakers,10498,women,New Season,NewSeason,False,,91,/ge/shopping/women/on-running-cloud-5-low-top-sneakers-item-18296721.aspx?storeid=10498,,Product,13219949,On Running,https://cdn-images.farfetch-contents.com/18/29/67/21/18296721_39230264_480.jpg,https://cdn-images.farfetch-contents.com/18/29/67/21/18296721_39228708_480.jpg,,$150,$150,150.0,150.0,USD,False,,,FiPGpJA9XW+0nL,
149,15204023,heart logo-patch T-shirt,10479,men,,NoTag,False,"[{'scaleId': 114, 'size': 'S'}, {'scaleId': 114, 'size': 'M'}, {'scaleId': 114, 'size': 'L'}, {'scaleId': 114, 'size': 'XL'}, {'scaleId': 114, 'size': 'XXL'}]",1130,/ge/shopping/men/comme-des-garcons-play-heart-logo-patch-t-shirt-item-15204023.aspx?storeid=10479,,Product,14236,Comme Des Garçons Play,https://cdn-images.farfetch-contents.com/15/20/40/23/15204023_26274045_480.jpg,https://cdn-images.farfetch-contents.com/15/20/40/23/15204023_26274043_480.jpg,,$75,$75,75.0,75.0,USD,False,,,FiPGpJA9XW+0nL,
150,16512725,Prada Runway sunglasses,10854,unisex,New Season,NewSeason,False,"[{'scaleId': 353, 'size': 'XS'}, {'scaleId': 353, 'size': 'S'}]",884,/ge/shopping/women/prada-eyewear-prada-runway-sunglasses-item-16512725.aspx?storeid=10854,,Product,3494617,Prada Eyewear,https://cdn-images.farfetch-contents.com/16/51/27/25/16512725_32103690_480.jpg,https://cdn-images.farfetch-contents.com/16/51/27/25/16512725_32103692_480.jpg,,$310,$310,310.0,310.0,USD,False,,,FiPGpJA9XW+0nL,
151,17672606,Dunk Low sneakers,11218,women,New Season,NewSeason,False,,48,/ge/shopping/women/nike-dunk-low-sneakers-item-17672606.aspx?storeid=11218,,Product,1664,Nike,https://cdn-images.farfetch-contents.com/17/67/26/06/17672606_36961233_480.jpg,https://cdn-images.farfetch-contents.com/17/67/26/06/17672606_36960531_480.jpg,,$246,$246,246.0,246.0,USD,False,,,FiPGpJA9XW+0nL,
